タイトル,順位,得意先コード,得意先名称,得意先名称２,ランク,重点,業態,担当者,カテゴリー名,地区名称,電話番号,住所１,住所２,住所３,売上金額,粗利金額,前年対比率,前年売上,前年粗利,前々年売上,前々年粗利
"	【売上金額／ベスト順】    25/02/01～26/01/31",11,"	0098384","	スターアグリ（株）札幌営業所","	","	A","	","	卸","	山下和","	山下和　北海道","	北海道","	0116768155","	北海道　札幌市中央区北四条西","	　　　　１６丁目１番地","	ﾃﾙｳｪﾙ札幌第一ビル1F",33649902,4127100,103.08,32643382,3829756,23294493,2372181
"	【売上金額／ベスト順】    25/02/01～26/01/31",12,"	0073024","	中央製袋（株）＊　　　　　　Ⅰ","	","	","	","	代理店","	堀川","	堀川　福岡","	福岡","	0943741511","	福岡県　久留米市田主丸町鷹取","	　　　　７６０－１","	",33500686,2970350,94.86,35315750,4117093,87338585,10707370
"	【売上金額／ベスト順】    25/02/01～26/01/31",13,"	0075127","	（株）石崎商店","	","	B","	","	卸","	仲","	仲　茨城","	茨城","	0292924787","	茨城県　東茨城郡茨城町鳥羽田","	　　　　１６７５－１９","	",32563667,5783691,127.34,25572325,4201529,21594945,3546062
"	【売上金額／ベスト順】    25/02/01～26/01/31",14,"	0075849","	（有）東農場","	","	B","	","	卸","	仲","	仲　茨城","	茨城","	0299790884","	茨城県　稲敷市押砂１８６３－３","	","	",31608490,5554307,121.72,25969175,4150739,21854081,3640101
"	【売上金額／ベスト順】    25/02/01～26/01/31",15,"	0075616","	（株）新潟農商","	","	B","	","	卸","	山本","	山本　新潟","	新潟","	0250253160","	新潟県　新潟市秋葉区川口","	　　　　５８０－１７","	",25500760,5181241,117.21,21756070,4908642,14302845,2761545
"	【売上金額／ベスト順】    25/02/01～26/01/31",16,"	0073768","	ＪＡ熊本経済連　生産資材課","	","	","	","	ＪＡ","	堀川","	堀川　熊本","	熊本","	0963281167","	熊本県　熊本市中央区南千反畑町","	　　　　３－１","	",24953976,3013431,68.85,36244651,3879874,30190550,3306587
"	【売上金額／ベスト順】    25/02/01～26/01/31",17,"	0081853","	木徳神糧（株）滋賀工場","	","	S","	1","	卸","	森田","	森田　特販","	滋賀","	0748552500","	滋賀県　東近江市稲垂町","	　　　　１７２－２","	",24946367,676078,108.95,22898108,1336334,17491941,998095
"	【売上金額／ベスト順】    25/02/01～26/01/31",18,"	0035006","	東洋糧穀（株）","	","	B","	","	卸","	見上","	見上　大阪Ａ","	大阪","	0669971661","	大阪府　守口市東郷通２－３－４","	","	",24869135,6308303,107.90,23048198,5538242,20119373,4449551
"	【売上金額／ベスト順】    25/02/01～26/01/31",19,"	0075796","	千代田加工紙販売（株）　　　Ⅰ","	","	","	","	代理店","	仲","	仲　静神・卸","	神奈川","	0458612531","	神奈川県　横浜市戸塚区","	　　　　　戸塚町３０９３","	",24830356,3258117,79.77,31125941,4782527,18262002,2986336
"	【売上金額／ベスト順】    25/02/01～26/01/31",20,"	0078726","	（株）ミツハシ　幸浦工場","	","	S","	1","	卸","	片山","	片山　卸・他","	神奈川","	0457843284","	神奈川県　横浜市金沢区","	　　　　　幸浦２－２５","	",24131548,1737353,104.84,23018443,1225786,15675050,107367
"	【売上金額／ベスト順】    25/02/01～26/01/31",21,"	0083099","	（株）水谷","	","	A","	1","	取扱店","	森田","	森田　東海特販","	愛知","	0586680566","	愛知県　一宮市西萩原字若宮北","	        ２９－２","	",23592904,210543,102.95,22917677,1100651,3329785,-112029
"	【売上金額／ベスト順】    25/02/01～26/01/31",22,"	0075747","	（有）小竹米店","	","	A","	","	卸","	菅原","	菅原　茨城","	茨城","	0297437355","	茨城県　常総市孫兵ヱ新田６４５","	","	",22940181,1054154,48.38,47415007,2450173,48579816,2415214
"	【売上金額／ベスト順】    25/02/01～26/01/31",23,"	0070232","	（株）東山紙業　　　　　　　Ⅰ","	","	","	","	代理店","	見上","	見上　京都","	京都","	0758719559","	京都府　京都市右京区嵯峨新宮町","	　　　　４５－１３","	",20568937,2972862,92.09,22334678,3341722,22139402,1807608
"	【売上金額／ベスト順】    25/02/01～26/01/31",24,"	0088487","	おきなわ米販（株）","	","	B","	","	卸","	木村拓","	木村拓　沖縄","	沖縄","	0988884090","	沖縄県　島尻郡南風原町字山川","	　　　　２８６－１","	",20254340,1127551,75.55,26809201,1052277,12703609,110363
"	【売上金額／ベスト順】    25/02/01～26/01/31",25,"	0071097","	（株）坂本","	","	A","	","	卸","	沖本","	沖本　岡山","	岡山","	0864768760","	岡山県　倉敷市東塚７－４－２４","	","	",19504295,964240,111.33,17519065,1030851,26309100,718385
"	【売上金額／ベスト順】    25/02/01～26/01/31",26,"	0078634","	エバーグリーン（株）","	","	A","	","	卸","	松本","	松本　関東・卸","	群馬","	0273297021","	群馬県　高崎市倉賀野町","	　　　　５３２３番地２１","	",18906918,5117963,396.46,4768950,817811,3485435,500630
"	【売上金額／ベスト順】    25/02/01～26/01/31",27,"	0078133","	（株）ナンブ","	","	A","	1","	卸","	松本","	松本　関東・卸","	埼玉","	0488223391","	埼玉県　さいたま市浦和区岸町","	　　　　４－２－１６","	",18322939,3480253,100.33,18262226,3424513,15643928,3018625
"	【売上金額／ベスト順】    25/02/01～26/01/31",28,"	0020448","	ヤフー","	","	W","	","	取扱店","	ＷＥＢ","	ＷＥＢ木村拓","	大阪","	1","	.","	","	",17976670,6086203,93.98,19127660,6553507,14770330,4828338
"	【売上金額／ベスト順】    25/02/01～26/01/31",29,"	0024017","	ライスフレンド（株）精米事業部","	","	S","	1","	卸","	森田","	森田　特販","	大阪","	0728718207","	大阪府　大東市御領３－７－６","	","	",17856672,2083961,136.01,13128855,1114938,5784128,-117941
"	【売上金額／ベスト順】    25/02/01～26/01/31",30,"	0077339","	（株）私市兄弟商店　　　　　Ⅲ","	","	A","	","	卸","	山下和","	山下和　北海道","	北海道","	0138736583","	北海道　北斗市常盤","	　　　　１－１２－１","	",17820068,3236854,70.29,25353178,5707379,20066023,4369451
"	【売上金額／ベスト順】    25/02/01～26/01/31",31,"	0077943","	（株）ＳＹＯＫＵＳＡＮ　本社","	","	A","	","	取扱店","	山下和","	山下和　北海道","	北海道","	0115855044","	北海道　札幌市中央区南四条","	　　　　西１０－１００４－２","	",17689132,4198602,90.36,19575336,5132206,14582422,3995255
"	【売上金額／ベスト順】    25/02/01～26/01/31",32,"	0082558","	酒見食品工業（株）","	","	A","	1","	小売店","	堀川","	堀川　福岡","	福岡","	0942474578","	福岡県　久留米市田主丸町以真恵","	　　　　２６４－３","	",17669857,1804851,161.76,10923730,885760,6550,2048
"	【売上金額／ベスト順】    25/02/01～26/01/31",33,"	0074048","	中橋商事（株）","	","	A","	1","	卸","	森田","	森田　北陸","	石川","	0767298800","	石川県　羽咋郡宝達志水町柳瀬ヨ","	　　　　９－１","	",16834861,967359,70.77,23786780,1590707,17414815,1375596
"	【売上金額／ベスト順】    25/02/01～26/01/31",34,"	0076483","	（株）ジェイエイてんどうフーズ","	","	A","	1","	ＪＡ","	菅原","	菅原　東北Ａ","	山形","	0236535731","	山形県　天童市大字蔵増","	　　　　１４７５－１０","	",16795599,1962308,230.59,7283899,405847,5361570,201412
"	【売上金額／ベスト順】    25/02/01～26/01/31",35,"	0075204","	（株）樋口米穀","	","	A","	1","	卸","	松本","	松本　関東・卸","	埼玉","	0485421706","	埼玉県　鴻巣市常光１６７","	","	",16671299,2943570,171.37,9728375,939673,3316585,201190
"	【売上金額／ベスト順】    25/02/01～26/01/31",36,"	0071009","	木徳神糧（株）中四国支店","	","	S","	1","	卸","	沖本","	沖本　岡山","	岡山","	0869241717","	岡山県　瀬戸内市邑久町福元","	　　　　１１１－１","	",16054151,1336085,88.07,18228676,965708,7946294,118029
"	【売上金額／ベスト順】    25/02/01～26/01/31",37,"	0074044","	新潟包材（株）　　　　　　　Ⅰ","	","	B","	","	代理店","	山本","	山本　新潟","	新潟","	0252720010","	新潟県　新潟市東区卸新町","	　　　　２－８４８－１０","	",15894652,3136566,100.88,15755465,3543315,14808557,3159729
"	【売上金額／ベスト順】    25/02/01～26/01/31",38,"	0077608","	（株）Ｗａｋｋａ　Ｊａｐａｎ","	","	B","	","	小売店","	山下尚","	山下尚　北海道","	北海道","	0112005454","	北海道　札幌市中央区南一条西","	　　　　５丁目５－５","	　　　　北日本中央ビル４－Ｃ",15135790,1466080,128.66,11764430,917975,8581900,710800
"	【売上金額／ベスト順】    25/02/01～26/01/31",39,"	0071052","	食協（株）","	","	S","	1","	卸","	沖本","	沖本　中国","	広島","	0822641555","	広島県　広島市南区松川町５－９","	","	",14307210,1069534,95.67,14955455,1133859,17601862,1042987
"	【売上金額／ベスト順】    25/02/01～26/01/31",40,"	0070575","	（株）パールライス滋賀","	","	A","	1","	ＪＡ","	森田","	森田　滋賀","	滋賀","	0775867015","	滋賀県　野洲市小篠原２－１","	","	",13890556,1331679,55.42,25063960,2958178,21180368,2203225
"	【売上金額／ベスト順】    25/02/01～26/01/31",41,"	0073012","	（株）アグリック","	","	A","	","	卸","	堀川","	堀川　熊本","	熊本","	0963243121","	熊本県　熊本市北区四方寄町","	　　　　４０４－１","	",13880401,1956785,82.21,16884731,2288141,13572617,1655423
"	【売上金額／ベスト順】    25/02/01～26/01/31",42,"	0075055","	（株）常陸物産","	","	B","	","	卸","	仲","	仲　茨城","	茨城","	0293045623","	茨城県　水戸市酒門町","	　　　　４４７８－１７","	",13716897,2833214,69.96,19606272,4267839,15647633,3106832
"	【売上金額／ベスト順】    25/02/01～26/01/31",43,"	0079260","	（株）ＭｏｎｏｔａＲＯ","	","	","	","	取扱店","	田中ﾒﾃﾞｨｱ","	量販（西）","	大阪","	0648697182","	大阪府　大阪市北区梅田","	　　　　三丁目２番２号","	",13697150,3819869,97.03,14116640,3264790,12509020,2627611
"	【売上金額／ベスト順】    25/02/01～26/01/31",44,"	0074395","	ﾍﾞｲｸｯｸｺ-ﾎﾟﾚ-ｼｮﾝ（株）","	","	A","	","	卸","	松本","	松本　長野","	長野","	0262227500","	長野県　長野市風間２４５２","	","	",13593637,1502691,57.96,23455424,3619254,14907435,455869
"	【売上金額／ベスト順】    25/02/01～26/01/31",45,"	0074211","	（株）遠州米穀","	","	A","	1","	卸","	仲","	仲　静神・卸","	静岡","	0538385321","	静岡県　磐田市高見丘１２０３","	","	",13422307,2768143,99.11,13542980,2313718,11847782,1853812
"	【売上金額／ベスト順】    25/02/01～26/01/31",46,"	0099619","	（株）ミエライス","	","	A","	1","	卸","	森田","	森田　東海特販","	三重","	0592560311","	三重県　津市庄田町１９５７","	","	",13342135,1213191,77.24,17273295,849101,13874225,597851
"	【売上金額／ベスト順】    25/02/01～26/01/31",47,"	0081442","	株式会社　百笑市場　　　　　Ｊ","	","	B","	","	農業法人","	山下和","	山下和　卸・他","	茨城","	0296448882","	茨城県　下妻市赤須５２２","	","	",13251145,478740,84.00,15775175,940937,8482760,1146386
"	【売上金額／ベスト順】    25/02/01～26/01/31",48,"	0082026","	（株）楽楽園","	","	B","	","	小売店","	山下尚","	山下尚　特販","	大阪","	0669559400","	大阪府　大阪市旭区新森","	　　　　６－１２－５","	",12941290,692513,173.91,7441265,540796,5679790,165807
"	【売上金額／ベスト順】    25/02/01～26/01/31",49,"	0080309","	（株）サン・ヴィリッジ新潟","	","	B","	","	農業法人","	山本","	山本　新潟","	新潟","	0254436247","	新潟県　胎内市赤川１２０８","	","	",12880802,1254730,89.34,14418511,972658,18597898,987880
"	【売上金額／ベスト順】    25/02/01～26/01/31",50,"	0074529","	（株）ハナノキ","	","	A","	","	卸","	木村寿","	木村寿　愛知","	愛知","	0568223711","	愛知県　北名古屋市井瀬木井の元","	　　　　３６","	",12659687,2088922,104.82,12078112,1866180,12830468,1895811
"	【売上金額／ベスト順】    25/02/01～26/01/31",51,"	0072046","	（株）ドイ　お米のまつや","	","	B","	","	卸","	木村寿","	木村寿　四国","	愛媛","	0899551711","	愛媛県　東温市北野田３７６－１","	","	",12392844,1815198,83.57,14829665,2508907,14774214,2435569
"	【売上金額／ベスト順】    25/02/01～26/01/31",52,"	0075347","	（株）永嶋庄兵衛商店　事務所","	","	B","	","	卸","	松本","	松本　関東・卸","	埼玉","	0487526235","	埼玉県　春日部市八丁目１１０３","	","	",12037757,2662482,103.26,11657290,2034049,5076537,970193
"	【売上金額／ベスト順】    25/02/01～26/01/31",53,"	0027099","	（株）みどりフーズ","	","	B","	","	卸","	見上","	見上　大阪Ｂ","	大阪","	0722557551","	大阪府　堺市北区南花田町２４２","	","	",11422689,2052406,103.59,11026319,2505852,11935679,2611940
"	【売上金額／ベスト順】    25/02/01～26/01/31",54,"	0071711","	（株）カツヤ","	","	B","	1","	卸","	沖本","	沖本　中国","	広島","	0828229960","	広島県　安芸郡海田町上市","	　　　　１９－２","	",11350333,2379231,97.19,11679018,2544692,8532435,1582968
"	【売上金額／ベスト順】    25/02/01～26/01/31",55,"	0074467","	（株）ＪＡライフ富山米穀事業部","	","	A","	1","	ＪＡ","	森田","	森田　北陸","	富山","	0764352020","	富山県　富山市金山新字辻下割","	　　　　３８５","	",11255911,935442,89.91,12518870,1306306,8666920,549303
"	【売上金額／ベスト順】    25/02/01～26/01/31",56,"	0070956","	播州精米（株）","	","	B","	","	卸","	木村寿","	木村寿　兵庫Ａ","	兵庫","	0795284218","	兵庫県　西脇市黒田庄町前坂","	　　　　１１２－１","	",11168334,1244575,69.49,16072095,1964751,16873479,1756236
"	【売上金額／ベスト順】    25/02/01～26/01/31",57,"	0074203","	（株）堀商店","	","	B","	","	卸","	山本","	山本　新潟","	新潟","	0252726800","	新潟県　新潟市東区卸新町","	　　　　３丁目－６１","	",11066214,1670355,91.92,12039597,1391904,7616881,699443
"	【売上金額／ベスト順】    25/02/01～26/01/31",58,"	0074543","	中埜総合印刷（株）","	","	","	","	取扱店","	木村寿","	木村寿　愛知","	愛知","	0569779877","	愛知県　知多郡阿久比町卯坂字","	　　　　梅ケ丘１４５番地","	",11061310,2301443,72.97,15158575,2140656,17299705,2504012
"	【売上金額／ベスト順】    25/02/01～26/01/31",59,"	0074304","	ＪＡ静岡経済連　くらし支援部","	                       食糧課","	A","	1","	ＪＡ","	仲","	仲　静神・卸","	静岡","	0542849737","	静岡県　静岡市駿河区曲金","	　　　　３－８－１","	　　　　静岡県農業会館北館２階",10599865,1607256,103.54,10237309,1495732,9195575,1311402
"	【売上金額／ベスト順】    25/02/01～26/01/31",60,"	0071007","	（株）嶋屋機械　＊　　　　　Ⅰ","	","	","	","	代理店","	沖本","	沖本　岡山","	岡山","	0868050370","	岡山県　岡山市北区今１丁目","	　　　　７－２３","	",10293695,1774134,90.48,11376533,2399256,10248253,1841426
"	【売上金額／ベスト順】    25/02/01～26/01/31",61,"	0075736","	（株）菅澤商店","	","	B","	","	卸","	片山","	片山　関東山梨","	千葉","	0478822221","	千葉県　香取市野田３２８","	","	",10157296,1508545,79.77,12733342,2424487,6267285,1180115
"	【売上金額／ベスト順】    25/02/01～26/01/31",62,"	0071135","	（有）安田精米","	","	B","	1","	卸","	沖本","	沖本　岡山","	岡山","	0862875622","	岡山県　岡山市北区津寺５２３","	","	",10118154,1892556,63.38,15964415,2641729,18000280,2781020
"	【売上金額／ベスト順】    25/02/01～26/01/31",63,"	0076302","	福島地区米穀卸商業（協）","	","	B","	","	卸","	菅原","	菅原　東北Ａ","	福島","	0245232261","	福島県　福島市渡利丸滝","	　　　　１５－４","	",9996755,968584,151.01,6620126,981867,4951893,591140
"	【売上金額／ベスト順】    25/02/01～26/01/31",64,"	0076454","	（株）アスク　本社","	","	A","	","	卸","	菅原","	菅原　東北Ａ","	山形","	0236954111","	山形県　山形市蔵王松ヶ丘","	　　　　２－１－３６","	",9994980,1179242,126.75,7885480,1206303,8622045,1037185
"	【売上金額／ベスト順】    25/02/01～26/01/31",65,"	0077359","	（株）松原米穀","	","	A","	1","	卸","	山下和","	山下和　北海道","	北海道","	0117903759","	北海道　札幌市東区東雁来１１条","	　　　　３丁目２番１号","	",9964360,1082561,79.79,12488773,1474335,16296528,1366372
"	【売上金額／ベスト順】    25/02/01～26/01/31",66,"	0077408","	北海道中央食糧（株）","	","	A","	","	卸","	山下和","	山下和　北海道","	北海道","	0117314311","	北海道　札幌市東区北８条","	　　　　東２丁目１番２５号","	",9624885,991957,52.66,18278109,1958032,9737595,944027
"	【売上金額／ベスト順】    25/02/01～26/01/31",67,"	0074172","	桑名米商（株）","	","	C","	","	小売店","	木村寿","	木村寿　三重","	三重","	0594218121","	三重県　桑名市大央町５３－１","	","	",9535560,1002328,216.42,4406130,658916,1160560,136320
"	【売上金額／ベスト順】    25/02/01～26/01/31",68,"	0076482","	（有）阿部ベイコク","	","	B","	","	卸","	菅原","	菅原　東北Ｂ","	山形","	0235281529","	山形県　鶴岡市大淀川洞合","	　　　　１７－３","	",9423119,1900356,99.18,9500690,1865125,7358498,1453662
"	【売上金額／ベスト順】    25/02/01～26/01/31",69,"	0075303","	ユアサ・フナショク（株）   YA","	米穀部","	A","	1","	卸","	山本","	山本　卸","	千葉","	0474331222","	千葉県　船橋市高瀬町７番５号","	","	",9421596,888019,131.69,7154632,701755,4613900,408006
"	【売上金額／ベスト順】    25/02/01～26/01/31",70,"	0076406","	登米ライスサービス（株）","	","	B","	","	農業法人","	菅原","	菅原　東北Ｂ","	宮城","	0220585775","	宮城県　登米市南方町原１０－１","	","	",9371075,939719,129.60,7230815,876273,5480946,640840
"	【売上金額／ベスト順】    25/02/01～26/01/31",71,"	0071704","	若木商店　＊　　　　　　　　Ⅰ","	","	","	","	代理店","	堀川","	堀川　福岡","	福岡","	0929355005","	福岡県　糟屋郡志免町桜丘","	　　　　４丁目３８－３","	",9071345,1590224,87.66,10348713,1634374,9422007,1356778
"	【売上金額／ベスト順】    25/02/01～26/01/31",72,"	0072035","	マルヒ食糧（有）","	","	B","	","	卸","	木村寿","	木村寿　四国","	愛媛","	0898310085","	愛媛県　今治市松本町","	　　　　５－１－１５","	",9039633,1558024,95.49,9466940,1964776,10832610,1918188
"	【売上金額／ベスト順】    25/02/01～26/01/31",73,"	0078079","	（株）昭栄　　　　　　　　Ⅰ","	","	","	","	代理店","	片山","	片山　関東山梨","	東京","	0339974324","	東京都　練馬区下石神井","	　　　　４－３１－３１","	",8932090,1987167,71.03,12575320,3236526,8692360,2178366
"	【売上金額／ベスト順】    25/02/01～26/01/31",74,"	0076524","	（株）東北むらせ本社","	","	S","	1","	卸","	山下和","	山下和　卸・他","	福島","	0249556288","	福島県　郡山市桑野","	　　　　３－２０－３３","	",8696874,1136718,182.73,4759364,762359,11747279,1436979
"	【売上金額／ベスト順】    25/02/01～26/01/31",75,"	0075789","	（株）おかじま　事務所","	","	B","	","	卸","	山本","	山本　新潟","	新潟","	0256734285","	新潟県　新潟市西蒲区漆山","	　　　　漆山企業団地内８７５３","	",8673604,820431,119.14,7280482,983180,6641890,592680
"	【売上金額／ベスト順】    25/02/01～26/01/31",76,"	0079588","	共福産業（株）","	","	","	","	ﾎｰﾑｾﾝﾀｰ","	田中ﾒﾃﾞｨｱ","	量販（西）","	大阪","	0642551603","	大阪府　大阪市鶴見区鶴見","	　　　　４－１－１２","	　　（株）アサヒペン本社内６Ｆ",8583905,1443647,125.01,6866532,1014387,4791918,549973
"	【売上金額／ベスト順】    25/02/01～26/01/31",77,"	0076031","	（株）東北食糧（本社）","	","	B","	","	卸","	菅原","	菅原　東北Ａ","	山形","	0236864511","	山形県　山形市立谷川","	　　　　２－１２５０－３","	",8564670,1456896,61.53,13918766,2312745,13548342,2062144
"	【売上金額／ベスト順】    25/02/01～26/01/31",78,"	0073113","	（株）久野米穀","	","	B","	","	卸","	木村拓","	木村拓　宮崎","	宮崎","	0986231425","	宮崎県　都城市五十町","	　　　　１３６７－２","	",8518375,878911,142.64,5971795,804058,5660830,942758
"	【売上金額／ベスト順】    25/02/01～26/01/31",79,"	0078002","	（株）むらせ　首都圏工場","	","	S","	1","	卸","	山下和","	山下和　卸・他","	埼玉","	0429372288","	埼玉県　入間市木蓮寺４９－３","	","	",8494868,413070,104.95,8094345,477351,10907200,563744
"	【売上金額／ベスト順】    25/02/01～26/01/31",80,"	0071044","	（株）オクモト","	","	A","	1","	卸","	沖本","	沖本　中国","	広島","	0848203100","	広島県　尾道市東尾道１１－９","	","	",8471871,1122157,105.98,7994144,1102597,7363098,931688
"	【売上金額／ベスト順】    25/02/01～26/01/31",81,"	0077934","	（株）私市兄弟商店　札幌支店","	","	A","	","	卸","	山下和","	山下和　北海道","	北海道","	0117688685","	北海道　札幌市東区伏古８条","	　　　　２丁目５－２７","	",8427012,2214874,76.27,11048929,3182202,8366436,1930754
"	【売上金額／ベスト順】    25/02/01～26/01/31",82,"	0088554","	（株）ゼンショーライス関東工場","	","	S","	1","	卸","	菅原","	菅原　東北Ａ","	福島","	0248343383","	福島県　白河市東工業団地","	        字北１１","	",8367260,823437,1027.82,814080,80517,0,0
"	【売上金額／ベスト順】    25/02/01～26/01/31",83,"	0080142","	（株）やすい","	","	B","	","	卸","	見上","	見上　和歌山","	和歌山","	0734998874","	和歌山県　和歌山市広原２５－１","	","	",8354478,1533571,73.72,11332825,1954663,2167263,357645
"	【売上金額／ベスト順】    25/02/01～26/01/31",84,"	0074005","	上根精機工業（株）　＊　　　Ⅰ","	","	","	","	代理店","	木村寿","	木村寿　愛知","	愛知","	0523524111","	愛知県　名古屋市中川区澄池町","	　　　　１５－２１","	",8290695,1906685,73.54,11274118,2526320,10799858,2408132
"	【売上金額／ベスト順】    25/02/01～26/01/31",85,"	0075702","	（株）福島機械製作所　千葉ⅠYA","	","	","	","	代理店","	小河東ﾒﾃﾞｨ","	メディア千葉","	千葉","	0474920908","	千葉県　白井市中１４９－２８","	　　　　白井工業団地入口","	",8163145,1745718,71.22,11461865,2568075,9870224,2224886
"	【売上金額／ベスト順】    25/02/01～26/01/31",86,"	0082551","	（株）ヨコチュー","	","	C","	","	卸","	森田","	森田　岐阜","	岐阜","	0583924661","	岐阜県　羽島市小熊町東小熊","	　　　　３２０８","	",8067417,1959146,68.37,11800078,3523082,4125859,1247518
"	【売上金額／ベスト順】    25/02/01～26/01/31",87,"	0076054","	（株）ライシー宮城","	","	B","	","	卸","	菅原","	菅原　東北Ｂ","	宮城","	0228431012","	宮城県　栗原市金成藤渡戸","	　　　　字牧前３８","	",8039275,1524971,56.15,14318437,2717740,12343683,2060674
"	【売上金額／ベスト順】    25/02/01～26/01/31",88,"	0071980","	（株）ヴェルデ","	","	","	","	取扱店","	田中ﾒﾃﾞｨｱ","	量販（西）","	広島","	0848387890","	広島県　尾道市美ノ郷町本郷","	　　　　１－７１","	",7962095,1904603,303.82,2620650,426556,1870950,368646
"	【売上金額／ベスト順】    25/02/01～26/01/31",89,"	0041059","	幸福米穀（株）","	","	B","	","	卸","	森田","	森田　特販","	大阪","	0728601515","	大阪府　枚方市茄子作南町","	　　　　１３１２","	",7743458,631390,205.23,3773048,349293,361600,8230
"	【売上金額／ベスト順】    25/02/01～26/01/31",90,"	0074004","	（有）内垣機械店　＊　　　　Ⅰ","	","	","	","	代理店","	木村寿","	木村寿　愛知","	愛知","	0564514233","	愛知県　岡崎市上六名","	　　　　１－１２－５","	",7607102,1603478,76.37,9961380,2020646,6282489,1303214
"	【売上金額／ベスト順】    25/02/01～26/01/31",91,"	0076372","	笹川米穀店","	","	C","	","	卸","	菅原","	菅原　東北Ａ","	福島","	0246292336","	福島県　いわき市鹿島町","	　　　　下矢田字曲田２３－１","	",7570400,2617567,75.83,9983682,3352144,4297099,1327683
"	【売上金額／ベスト順】    25/02/01～26/01/31",92,"	0070464","	（株）フジタ精米人","	","	B","	","	卸","	木村寿","	木村寿　兵庫Ａ","	兵庫","	0794667321","	兵庫県　小野市河合中町字蓬菜野","	　　　　８３－１２","	",7486331,1110388,203.07,3686580,554392,5693225,570495
"	【売上金額／ベスト順】    25/02/01～26/01/31",93,"	0088378","	（株）ハンズマン","	","	","	","	ﾎｰﾑｾﾝﾀｰ","	田中ﾒﾃﾞｨｱ","	量販（西）","	宮崎","	0986380847","	宮崎県　都城市吉尾町２０８０","	","	",7444477,796537,104.47,7125723,248826,5331615,309404
"	【売上金額／ベスト順】    25/02/01～26/01/31",94,"	0074107","	安田商事（株）","	","	","	1","	小売店","	森田","	森田　北陸","	石川","	0762210737","	石川県　金沢市駅西本町","	　　　　３－１９－３０","	",7422637,-814091,.00,0,-7613,0,0
"	【売上金額／ベスト順】    25/02/01～26/01/31",95,"	0077578","	（株）ＺＡＷＡ．ｃｏｍ","	","	B","	","	取扱店","	山下尚","	山下尚　北海道","	北海道","	0126258755","	北海道　岩見沢市５条","	　　　　西２丁目８－６","	",7302440,1891219,49.20,14841285,2505324,11437730,2330921
